fecha,poliza,concepto,tercero,cargo,abono
2026-08-31,EGR-0008,Pago proveedor Papelería Corporativa MX,Papelería Corporativa MX,,74848.63
2026-09-01,EGR-0003,Pago proveedor Empaques y Cartón Bajío,Empaques y Cartón Bajío,,169052.96
2026-09-01,EGR-0004,Pago proveedor Empaques y Cartón Bajío,Empaques y Cartón Bajío,,24678.11
2026-09-01,EGR-0007,Pago proveedor Energía Industrial SA,Energía Industrial SA,,177862.18
2026-09-01,ING-0001,Cobro FAC-2251,Grupo Logístico Altamira,53291.85,
2026-09-01,ING-0002,Cobro FAC-2252,Distribuidora Alfa Norte,319449.19,
2026-09-02,EGR-0011,Pago proveedor Servicios Técnicos Ramírez,Servicios Técnicos Ramírez,,71782.73
2026-09-02,ING-0005,Cobro FAC-2253,Distribuidora Alfa Norte,238973.13,
2026-09-02,ING-0006,Cobro FAC-2254,Refacciones Industriales MTY,301337.66,
2026-09-03,EGR-0012,Pago proveedor Seguros Patrimoniales del Norte,Seguros Patrimoniales del Norte,,126328.42
2026-09-03,EGR-0013,Pago proveedor Aceros Monclova,Aceros Monclova,,187746.32
2026-09-03,EGR-0018,Pago proveedor Seguros Patrimoniales del Norte,Seguros Patrimoniales del Norte,,31324.03
2026-09-03,EGR-0019,Pago proveedor Mantenimiento Industrial Torres,Mantenimiento Industrial Torres,,176923.19
2026-09-03,ING-0009,Cobro FAC-2255,Refacciones Industriales MTY,189922.36,
2026-09-03,ING-0010,Cobro FAC-2256,Refacciones Industriales MTY,234865.77,
2026-09-04,EGR-0017,Pago proveedor Energía Industrial SA,Energía Industrial SA,,138902.34
2026-09-04,EGR-0023,Pago proveedor Seguros Patrimoniales del Norte,Seguros Patrimoniales del Norte,,46048.68
2026-09-04,EGR-0029,Pago proveedor Transportes Rápidos del Centro,Transportes Rápidos del Centro,,107921.63
2026-09-04,ING-0014,Cobro FAC-2257,Grupo Ferretero del Bajío,203942.68,
2026-09-04,ING-0015,Cobro FAC-2258,Grupo Ferretero del Bajío,93163.51,
2026-09-04,ING-0016,Cobro FAC-2259,Aceros y Perfiles del Golfo,107240.70,
2026-09-07,EGR-0022,Pago proveedor Transportes Rápidos del Centro,Transportes Rápidos del Centro,,149356.67
2026-09-07,ING-0020,Cobro FAC-2260,Grupo Ferretero del Bajío,176380.95,
2026-09-07,ING-0021,Cobro FAC-2261,Comercializadora Sonora,57023.92,
2026-09-08,EGR-0026,Pago proveedor Seguros Patrimoniales del Norte,Seguros Patrimoniales del Norte,,129225.04
2026-09-08,EGR-0033,Pago proveedor Mantenimiento Industrial Torres,Mantenimiento Industrial Torres,,88002.31
2026-09-08,EGR-0038,Pago proveedor Empaques y Cartón Bajío,Empaques y Cartón Bajío,,33152.52
2026-09-08,EGR-0101,Energía eléctrica agosto,CFE,,96430.00
2026-09-08,ING-0024,Cobro FAC-2262,Distribuidora Alfa Norte,43333.42,
2026-09-08,ING-0025,Cobro FAC-2263,Distribuidora Alfa Norte,160695.22,
2026-09-08,ING-0027,Cobro FAC-2264,Grupo Logístico Altamira,204426.23,
2026-09-09,EGR-0030,Pago proveedor Mantenimiento Industrial Torres,Mantenimiento Industrial Torres,,113956.06
2026-09-09,EGR-0034,Pago proveedor Mantenimiento Industrial Torres,Mantenimiento Industrial Torres,,20557.34
2026-09-09,ING-0028,Cobro FAC-2265,Comercializadora Sonora,282570.04,
2026-09-09,ING-0036,Cobro FAC-2269,Refacciones Industriales MTY,255542.17,
2026-09-10,EGR-0037,Pago proveedor Transportes Rápidos del Centro,Transportes Rápidos del Centro,,171284.98
2026-09-10,EGR-0102,Telefonía e internet agosto,Telmex,,18260.00
2026-09-10,ING-0031,Cobro FAC-2266,Aceros y Perfiles del Golfo,218957.55,
2026-09-10,ING-0032,Cobro FAC-2267,Refacciones Industriales MTY,167075.99,
2026-09-11,EGR-0039,Pago proveedor Servicios Técnicos Ramírez,Servicios Técnicos Ramírez,,196530.69
2026-09-11,EGR-0043,Pago proveedor Seguros Patrimoniales del Norte,Seguros Patrimoniales del Norte,,34856.22
2026-09-11,ING-0035,Cobro FAC-2268,Grupo Logístico Altamira,286216.07,
2026-09-11,ING-0104,Cobro FAC-2291,Grupo Ferretero del Bajío,198400.00,
2026-09-11,ING-0105,Cobro FAC-2295,Grupo Ferretero del Bajío,143700.00,
2026-09-11,ING-0106,Cobro FAC-2301,Grupo Ferretero del Bajío,145200.00,
