fecha,referencia,descripcion,cargo,abono,saldo
2026-09-01,SPEI 700011,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,53291.85,4235941.85
2026-09-01,SPEI 700027,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,319449.19,4555391.04
2026-09-01,SPEI 700033,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,169052.96,,4386338.08
2026-09-01,SPEI 700048,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,24678.11,,4361659.97
2026-09-02,SPEI 700065,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,238973.13,4600633.10
2026-09-02,SPEI 700082,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,301337.66,4901970.76
2026-09-02,SPEI 700100,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,177862.18,,4724108.58
2026-09-02,SPEI 700104,SPEI ENVIADO PAPELERÍA CORPORATIVA ,74848.63,,4649259.95
2026-09-03,SPEI 700115,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,189922.36,4839182.31
2026-09-03,SPEI 700122,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,234865.77,5074048.08
2026-09-03,SPEI 700125,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,71782.73,,5002265.35
2026-09-03,SPEI 700133,SPEI ENVIADO SEGUROS PATRIMONIALES ,126328.42,,4875936.93
2026-09-03,SPEI 700150,SPEI ENVIADO ACEROS MONCLOVA,187746.32,,4688190.61
2026-09-04,SPEI 700155,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,203942.68,4892133.29
2026-09-04,SPEI 700165,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,93163.51,4985296.80
2026-09-04,SPEI 700176,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,107240.70,5092537.50
2026-09-04,SPEI 700194,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,138902.34,,4953635.16
2026-09-04,SPEI 700212,SPEI ENVIADO SEGUROS PATRIMONIALES ,31324.03,,4922311.13
2026-09-04,SPEI 700215,SPEI ENVIADO MANTENIMIENTO INDUSTRI,176923.19,,4745387.94
2026-09-07,SPEI 700219,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,176380.95,4921768.89
2026-09-07,SPEI 700230,SPEI RECIBIDO COMERCIALIZADORA SONOR,,57023.92,4978792.81
2026-09-07,SPEI 700245,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,149356.67,,4829436.14
2026-09-07,SPEI 700249,SPEI ENVIADO SEGUROS PATRIMONIALES ,46048.68,,4783387.46
2026-09-08,DOM CFE 4471,DOMICILIACION CFE,96430.00,,4686957.46
2026-09-08,SPEI 700267,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,43333.42,4730290.88
2026-09-08,SPEI 700284,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,160695.22,4890986.10
2026-09-08,SPEI 700290,SPEI ENVIADO SEGUROS PATRIMONIALES ,129225.04,,4761761.06
2026-09-09,SPEI 700302,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,204426.23,4966187.29
2026-09-09,SPEI 700311,SPEI RECIBIDO COMERCIALIZADORA SONOR,,282570.04,5248757.33
2026-09-09,SPEI 700327,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,107921.63,,5140835.70
2026-09-09,SPEI 700338,SPEI ENVIADO MANTENIMIENTO INDUSTRI,113956.06,,5026879.64
2026-09-10,DOM TELMEX 8890,DOMICILIACION TELMEX,18260.00,,5008619.64
2026-09-10,SPEI 700346,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,218957.55,5227577.19
2026-09-10,SPEI 700358,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,167075.99,5394653.18
2026-09-10,SPEI 700365,SPEI ENVIADO MANTENIMIENTO INDUSTRI,88002.31,,5306650.87
2026-09-10,SPEI 700368,SPEI ENVIADO MANTENIMIENTO INDUSTRI,20557.34,,5286093.53
2026-09-11,SPEI 700387,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,286216.07,5572309.60
2026-09-11,SPEI 700391,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,255542.17,5827851.77
