FECHA OPERACION,FOLIO,CONCEPTO / DESCRIPCION,RETIRO,DEPOSITO
01/09/2026,SPEI 700011,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"53,291.85"
01/09/2026,SPEI 700027,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"319,449.19"
01/09/2026,SPEI 700033,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,"169,052.96",
01/09/2026,SPEI 700048,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,"24,678.11",
02/09/2026,SPEI 700065,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"238,973.13"
02/09/2026,SPEI 700082,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"301,337.66"
02/09/2026,SPEI 700100,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"177,862.18",
02/09/2026,SPEI 700104,SPEI ENVIADO PAPELERÍA CORPORATIVA ,"74,848.63",
03/09/2026,SPEI 700115,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"189,922.36"
03/09/2026,SPEI 700122,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"234,865.77"
03/09/2026,SPEI 700125,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,"71,782.73",
03/09/2026,SPEI 700133,SPEI ENVIADO SEGUROS PATRIMONIALES ,"126,328.42",
03/09/2026,SPEI 700150,SPEI ENVIADO ACEROS MONCLOVA,"187,746.32",
04/09/2026,SPEI 700155,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"203,942.68"
04/09/2026,SPEI 700165,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"93,163.51"
04/09/2026,SPEI 700176,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,"107,240.70"
04/09/2026,SPEI 700194,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"138,902.34",
04/09/2026,SPEI 700212,SPEI ENVIADO SEGUROS PATRIMONIALES ,"31,324.03",
04/09/2026,SPEI 700215,SPEI ENVIADO MANTENIMIENTO INDUSTRI,"176,923.19",
07/09/2026,SPEI 700219,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"176,380.95"
07/09/2026,SPEI 700230,SPEI RECIBIDO COMERCIALIZADORA SONOR,,"57,023.92"
07/09/2026,SPEI 700245,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,"149,356.67",
07/09/2026,SPEI 700249,SPEI ENVIADO SEGUROS PATRIMONIALES ,"46,048.68",
08/09/2026,DOM CFE 4471,DOMICILIACION CFE,"96,430.00",
08/09/2026,SPEI 700267,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"43,333.42"
08/09/2026,SPEI 700284,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"160,695.22"
08/09/2026,SPEI 700290,SPEI ENVIADO SEGUROS PATRIMONIALES ,"129,225.04",
09/09/2026,SPEI 700302,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"204,426.23"
09/09/2026,SPEI 700311,SPEI RECIBIDO COMERCIALIZADORA SONOR,,"282,570.04"
09/09/2026,SPEI 700327,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,"107,921.63",
09/09/2026,SPEI 700338,SPEI ENVIADO MANTENIMIENTO INDUSTRI,"113,956.06",
10/09/2026,DOM TELMEX 8890,DOMICILIACION TELMEX,"18,260.00",
10/09/2026,SPEI 700346,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,"218,957.55"
10/09/2026,SPEI 700358,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"167,075.99"
10/09/2026,SPEI 700365,SPEI ENVIADO MANTENIMIENTO INDUSTRI,"88,002.31",
10/09/2026,SPEI 700368,SPEI ENVIADO MANTENIMIENTO INDUSTRI,"20,557.34",
11/09/2026,SPEI 700387,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"286,216.07"
11/09/2026,SPEI 700391,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"255,542.17"
11/09/2026,SPEI 700410,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,"171,284.98",
11/09/2026,SPEI 700414,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,"33,152.52",
11/09/2026,SPEI 700420,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,"196,530.69",
11/09/2026,SPEI 748219,SPEI RECIBIDO GRUPO FERRETERO DEL BAJIO,,"487,300.00"
14/09/2026,DEP 0471,DEPOSITO EFECTIVO SUCURSAL 0471,,"93,600.00"
14/09/2026,SPEI 700436,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"290,636.01"
14/09/2026,SPEI 700447,SPEI RECIBIDO COMERCIALIZADORA SONOR,,"39,838.78"
14/09/2026,SPEI 700462,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,"92,878.35",
14/09/2026,SPEI 700478,SPEI ENVIADO SEGUROS PATRIMONIALES ,"34,856.22",
15/09/2026,DISP NOMINA,DISPERSION NOMINA ELECTRONICA,"1,284,500.00",
15/09/2026,SPEI 700484,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"304,413.08"
15/09/2026,SPEI 700497,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"76,504.61"
15/09/2026,SPEI 700506,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"232,806.53"
15/09/2026,SPEI 700516,SPEI ENVIADO ACEROS MONCLOVA,"113,241.36",
17/09/2026,PAGO SAT 0398412,PAGO REFERENCIADO SAT,"742,318.00",
17/09/2026,SPEI 700524,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,"168,306.23"
17/09/2026,SPEI 700541,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"217,195.47"
17/09/2026,SPEI 700558,SPEI ENVIADO MANTENIMIENTO INDUSTRI,"185,580.93",
17/09/2026,SPEI 700571,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"172,722.53",
17/09/2026,SPEI 700587,SPEI ENVIADO PAPELERÍA CORPORATIVA ,"174,305.22",
18/09/2026,CARGO SERV,CARGO SERVICIO ADMON EMPRESARIAL,"12,500.00",
18/09/2026,CARGO SERV,CARGO SERVICIO ADMON EMPRESARIAL,"12,500.00",
18/09/2026,SPEI 700594,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"64,866.63"
18/09/2026,SPEI 700607,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"193,014.97"
18/09/2026,SPEI 700622,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"115,115.65"
18/09/2026,SPEI 700636,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"66,270.35"
18/09/2026,SPEI 700643,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,"50,560.31",
19/09/2026,REF 88213,CARGO NO RECONOCIDO REF 88213,"34,900.00",
21/09/2026,PAGO IMSS 55120,PAGO REFERENCIADO IMSS,"268,940.00",
21/09/2026,SPEI 700647,SPEI RECIBIDO CONSTRUCTORA PENINSULA,,"266,282.91"
21/09/2026,SPEI 700660,SPEI RECIBIDO COMERCIALIZADORA SONOR,,"274,381.01"
21/09/2026,SPEI 700663,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"315,599.09"
21/09/2026,SPEI 700682,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,"145,670.02",
22/09/2026,SPEI 700701,SPEI RECIBIDO SUMINISTROS ELÉCTRICOS,,"73,699.24"
22/09/2026,SPEI 700705,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"180,738.03"
22/09/2026,SPEI 700709,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"138,896.14"
22/09/2026,SPEI 700714,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"186,892.60",
22/09/2026,SPEI 700725,SPEI ENVIADO ACEROS MONCLOVA,"151,409.01",
22/09/2026,SPEI 751904,SPEI ENVIADO ACEROS MONCLOVA,"48,590.00",
23/09/2026,SPEI 700729,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"234,755.36"
23/09/2026,SPEI 700733,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"294,986.62"
23/09/2026,SPEI 700739,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"163,855.84"
23/09/2026,SPEI 700757,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,"221,559.83"
23/09/2026,SPEI 700776,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,"141,068.73",
24/09/2026,ARREND OFICINA,TRANSFERENCIA ARRENDAMIENTO,"145,000.00",
24/09/2026,SPEI 700784,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"150,213.60"
24/09/2026,SPEI 700800,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"273,279.74"
24/09/2026,SPEI 700803,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"24,701.77",
24/09/2026,SPEI 700821,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"51,091.15",
24/09/2026,SPEI 700838,SPEI ENVIADO MANTENIMIENTO INDUSTRI,"161,977.18",
25/09/2026,SPEI 700847,SPEI RECIBIDO COMERCIALIZADORA SONOR,,"94,417.86"
25/09/2026,SPEI 700863,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,"318,450.46"
25/09/2026,SPEI 700872,SPEI RECIBIDO COMERCIALIZADORA SONOR,,"76,138.77"
25/09/2026,SPEI 700875,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"293,411.75"
25/09/2026,SPEI 700878,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,"53,910.75",
25/09/2026,SPEI INT 4402,"PAGO INTERNACIONAL USD 9,600.00","184,320.50",
28/09/2026,SPEI 700894,SPEI RECIBIDO SUMINISTROS ELÉCTRICOS,,"234,469.05"
28/09/2026,SPEI 700910,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"200,376.91"
28/09/2026,SPEI 700924,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"283,473.95"
28/09/2026,SPEI 700932,SPEI RECIBIDO CONSTRUCTORA PENINSULA,,"286,964.01"
28/09/2026,SPEI 700943,SPEI ENVIADO SEGUROS PATRIMONIALES ,"48,451.70",
28/09/2026,SPEI 700947,SPEI ENVIADO TRANSPORTES RÁPIDOS DE,"140,060.34",
29/09/2026,SPEI 700950,SPEI RECIBIDO CONSTRUCTORA PENINSULA,,"180,613.10"
29/09/2026,SPEI 700953,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"163,761.35"
29/09/2026,SPEI 700972,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"297,192.92"
29/09/2026,SPEI 700985,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,"120,797.28",
29/09/2026,SPEI 700996,SPEI ENVIADO SEGUROS PATRIMONIALES ,"17,543.12",
30/09/2026,COM 0930,COMISION MANEJO DE CUENTA,"1,450.00",
30/09/2026,COM SPEI,COMISION SPEI ENVIADOS (87 OPS),890.00,
30/09/2026,DISP NOMINA,DISPERSION NOMINA ELECTRONICA,"1,291,240.00",
30/09/2026,INT GAN,INTERESES GANADOS INVERSION,,"8,742.15"
30/09/2026,ISR INT,ISR RETENIDO INTERESES,"1,223.90",
30/09/2026,IVA COM,IVA COMISIONES,374.40,
30/09/2026,SPEI 701009,SPEI RECIBIDO ACEROS Y PERFILES DEL ,,"298,503.54"
30/09/2026,SPEI 701012,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"279,085.85"
30/09/2026,SPEI 701016,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"114,596.59",
