ESTADO DE CUENTA ENLACE EMPRESARIAL
CLIENTE:,"INDUSTRIAS DEL NORTE, S.A. DE C.V."
No. DE CUENTA:,0198 4471 92,PERIODO:,SEPTIEMBRE 2026
SALDO INICIAL:,"4,182,650.00"

FECHA,DESCRIPCION,CARGO,ABONO,SALDO
01/09/2026,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,,"53,291.85","4,235,941.85"
01/09/2026,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"319,449.19","4,555,391.04"
01/09/2026,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,"169,052.96",,"4,386,338.08"
01/09/2026,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,"24,678.11",,"4,361,659.97"
02/09/2026,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,,"238,973.13","4,600,633.10"
02/09/2026,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"301,337.66","4,901,970.76"
02/09/2026,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,"177,862.18",,"4,724,108.58"
02/09/2026,SPEI ENVIADO PAPELERÍA CORPORATIVA ,"74,848.63",,"4,649,259.95"
03/09/2026,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"189,922.36","4,839,182.31"
03/09/2026,SPEI RECIBIDO REFACCIONES INDUSTRIAL,,"234,865.77","5,074,048.08"
03/09/2026,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,"71,782.73",,"5,002,265.35"
03/09/2026,SPEI ENVIADO SEGUROS PATRIMONIALES ,"126,328.42",,"4,875,936.93"
03/09/2026,SPEI ENVIADO ACEROS MONCLOVA,"187,746.32",,"4,688,190.61"
04/09/2026,SPEI RECIBIDO GRUPO FERRETERO DEL BA,,"203,942.68","4,892,133.29"

,,,SALDO FINAL:,"4,892,133.29"
