fecha_operacion,fecha_aplicacion,referencia,concepto,monto,divisa
2026-09-01,2026-09-01,SPEI 700011,SPEI RECIBIDO GRUPO LOGÍSTICO ALTAMI,53291.85,MXN
2026-09-01,2026-09-01,SPEI 700027,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,319449.19,MXN
2026-09-01,2026-09-02,SPEI 700033,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,-169052.96,MXN
2026-09-01,2026-09-02,SPEI 700048,SPEI ENVIADO EMPAQUES Y CARTÓN BAJÍ,-24678.11,MXN
2026-09-02,2026-09-02,SPEI 700065,SPEI RECIBIDO DISTRIBUIDORA ALFA NOR,238973.13,MXN
2026-09-02,2026-09-02,SPEI 700082,SPEI RECIBIDO REFACCIONES INDUSTRIAL,301337.66,MXN
2026-09-02,2026-09-03,SPEI 700100,SPEI ENVIADO ENERGÍA INDUSTRIAL SA,-177862.18,MXN
2026-09-02,2026-09-03,SPEI 700104,SPEI ENVIADO PAPELERÍA CORPORATIVA ,-74848.63,MXN
2026-09-03,2026-09-03,SPEI 700115,SPEI RECIBIDO REFACCIONES INDUSTRIAL,189922.36,MXN
2026-09-03,2026-09-03,SPEI 700122,SPEI RECIBIDO REFACCIONES INDUSTRIAL,234865.77,MXN
2026-09-03,2026-09-04,SPEI 700125,SPEI ENVIADO SERVICIOS TÉCNICOS RAM,-71782.73,MXN
2026-09-03,2026-09-04,SPEI 700133,SPEI ENVIADO SEGUROS PATRIMONIALES ,-126328.42,MXN
2026-09-03,2026-09-04,SPEI 700150,SPEI ENVIADO ACEROS MONCLOVA,-187746.32,MXN
2026-09-04,2026-09-04,SPEI 700155,SPEI RECIBIDO GRUPO FERRETERO DEL BA,203942.68,MXN
