FEC_OPER,FOLIO,DESC,IMPORTE,IND
20260901,SPEI 700011,SPEI RECIBIDO GRUPO LOGÍ,"53,291.85",C
20260901,SPEI 700027,SPEI RECIBIDO DISTRIBUID,"319,449.19",C
20260901,SPEI 700033,SPEI ENVIADO EMPAQUES Y ,"169,052.96-",D
20260901,SPEI 700048,SPEI ENVIADO EMPAQUES Y ,"24,678.11-",D
20260902,SPEI 700065,SPEI RECIBIDO DISTRIBUID,"238,973.13",C
20260902,SPEI 700082,SPEI RECIBIDO REFACCIONE,"301,337.66",C
20260902,SPEI 700100,SPEI ENVIADO ENERGÍA IND,"177,862.18-",D
20260902,SPEI 700104,SPEI ENVIADO PAPELERÍA C,"74,848.63-",D
20260903,SPEI 700115,SPEI RECIBIDO REFACCIONE,"189,922.36",C
20260903,SPEI 700122,SPEI RECIBIDO REFACCIONE,"234,865.77",C
20260903,SPEI 700125,SPEI ENVIADO SERVICIOS T,"71,782.73-",D
20260903,SPEI 700133,SPEI ENVIADO SEGUROS PAT,"126,328.42-",D
20260903,SPEI 700150,SPEI ENVIADO ACEROS MONC,"187,746.32-",D
20260904,SPEI 700155,SPEI RECIBIDO GRUPO FERR,"203,942.68",C
